state,age group,population
Tennessee,30-34,227664
Tennessee,35-39,213997
Tennessee,40-44,215905
Texas,15-19,1065247
Texas,20-24,1005527
Texas,25-29,963731
Texas,30-34,1002435
Texas,35-39,986293
Texas,40-44,953398
Utah,15-19,140156
Utah,20-24,129823
Utah,25-29,103876
Utah,30-34,96580
Utah,35-39,87951
Utah,40-44,97214
Vermont,15-19,18072
Vermont,20-24,16871
Vermont,25-29,18949
Vermont,30-34,23112
Vermont,35-39,24109
Vermont,40-44,24222
Virginia,15-19,299852
Virginia,20-24,304548
Virginia,25-29,301523
Virginia,30-34,323790
Virginia,35-39,306982
Virginia,40-44,287695
Washington,15-19,222082
Washington,20-24,231235
Washington,25-29,253022
Washington,30-34,282576
Washington,35-39,281807
Washington,40-44,263141
West Virginia,15-19,50785
West Virginia,20-24,46121
West Virginia,25-29,42848
West Virginia,30-34,48409
West Virginia,35-39,49971
West Virginia,40-44,60808
Wisconsin,15-19,178929
Wisconsin,20-24,168903
Wisconsin,25-29,170800
Wisconsin,30-34,192911
Wisconsin,35-39,203250
Wisconsin,40-44,208944
Wyoming,15-19,13952
Wyoming,20-24,12070
Wyoming,25-29,12284
Wyoming,30-34,14097
Wyoming,35-39,17026
Wyoming,40-44,18900
