state,month,motherage,births,,
Illinois,5,45-49,36,,
Illinois,6,15-19,342,378,
Illinois,6,20-24,1576,1918,
Illinois,6,25-29,2754,4330,
Illinois,6,30-34,3430,6184,
Illinois,6,35-39,1959,5389,
Illinois,6,40-44,403,2362,
Illinois,6,45-49,31,,
Illinois,7,15-19,346,377,
Illinois,7,20-24,1673,2019,
Illinois,7,25-29,2874,4547,
Illinois,7,30-34,3723,6597,
Illinois,7,35-39,2123,5846,
Illinois,7,40-44,491,2614,
Illinois,7,45-49,31,,
Illinois,8,15-19,376,407,
Illinois,8,20-24,1649,2025,
Illinois,8,25-29,2953,4602,
Illinois,8,30-34,3660,6613,
Illinois,8,35-39,2024,5684,
Illinois,8,40-44,455,2479,
Illinois,8,45-49,25,,
Illinois,9,15-19,372,397,
Illinois,9,20-24,1543,1915,
Illinois,9,25-29,2651,4194,
Illinois,9,30-34,3454,6105,
Illinois,9,35-39,1976,5430,
Illinois,9,40-44,387,2363,
Illinois,9,45-49,25,,
Illinois,10,15-19,361,386,
Illinois,10,20-24,1584,1945,
Illinois,10,25-29,2674,4258,
Illinois,10,30-34,3670,6344,
Illinois,10,35-39,2088,5758,
Illinois,10,40-44,490,2578,
Illinois,10,45-49,33,,
Illinois,11,15-19,354,387,
Illinois,11,20-24,1496,1850,
Illinois,11,25-29,2488,3984,
Illinois,11,30-34,3260,5748,
Illinois,11,35-39,1927,5187,
Illinois,11,40-44,415,2342,
Illinois,11,45-49,32,,
Illinois,12,15-19,334,366,
Illinois,12,20-24,1556,1890,
Illinois,12,25-29,2569,4125,
Illinois,12,30-34,3219,5788,
Illinois,12,35-39,2073,5292,
Illinois,12,40-44,442,2515,
Illinois,12,45-49,29,,
Indiana,1,15-19,310,339,
Indiana,1,20-24,1367,1677,
Indiana,1,25-29,1960,3327,
Indiana,1,30-34,1780,3740,
Indiana,1,35-39,802,2582,
Indiana,1,40-44,179,981,
Indiana,2,15-19,267,446,
Indiana,2,20-24,1312,1579,
Indiana,2,25-29,2047,3359,
Indiana,2,30-34,1747,3794,
Indiana,2,35-39,782,2529,
Indiana,2,40-44,171,953,
Indiana,2,45-49,13,,
Indiana,3,15-19,312,325,
Indiana,3,20-24,1384,1696,
Indiana,3,25-29,2114,3498,
Indiana,3,30-34,1875,3989,
Indiana,3,35-39,868,2743,
Indiana,3,40-44,182,1050,
Indiana,3,45-49,16,,
Indiana,4,15-19,248,264,
Indiana,4,20-24,1368,1616,
Indiana,4,25-29,2081,3449,
Indiana,4,30-34,1844,3925,
Indiana,4,35-39,826,2670,
Indiana,4,40-44,179,1005,
Indiana,4,45-49,10,,
Indiana,5,15-19,271,281,
Indiana,5,20-24,1385,1656,
Indiana,5,25-29,2110,3495,
Indiana,5,30-34,1870,3980,
Indiana,5,35-39,882,2752,
Indiana,5,40-44,190,1072,
Indiana,5,45-49,15,,
Indiana,6,15-19,280,295,
Indiana,6,20-24,1375,1655,
Indiana,6,25-29,2059,3434,
Indiana,6,30-34,1895,3954,
Indiana,6,35-39,788,2683,
Indiana,6,40-44,166,954,
Indiana,7,15-19,292,458,
Indiana,7,20-24,1456,1748,
Indiana,7,25-29,2182,3638,
Indiana,7,30-34,2012,4194,
Indiana,7,35-39,896,2908,
Indiana,7,40-44,189,1085,
Indiana,7,45-49,17,,
Indiana,8,15-19,333,350,
Indiana,8,20-24,1443,1776,
Indiana,8,25-29,2336,3779,
Indiana,8,30-34,2017,4353,
Indiana,8,35-39,894,2911,
Indiana,8,40-44,174,1068,
Indiana,9,15-19,308,482,
Indiana,9,20-24,1399,1707,
Indiana,9,25-29,2113,3512,
Indiana,9,30-34,1907,4020,
Indiana,9,35-39,895,2802,
Indiana,9,40-44,178,1073,
Indiana,9,45-49,12,,
Indiana,10,15-19,320,332,
Indiana,10,20-24,1380,1700,
Indiana,10,25-29,2137,3517,
Indiana,10,30-34,1900,4037,
Indiana,10,35-39,947,2847,
Indiana,10,40-44,198,1145,
Indiana,11,15-19,256,454,
Indiana,11,20-24,1263,1519,
Indiana,11,25-29,1936,3199,
Indiana,11,30-34,1669,3605,
Indiana,11,35-39,816,2485,
Indiana,11,40-44,185,1001,
Indiana,11,45-49,10,,
Indiana,12,15-19,269,279,
Indiana,12,20-24,1391,1660,
Indiana,12,25-29,2073,3464,
Indiana,12,30-34,1874,3947,
Indiana,12,35-39,863,2737,
Indiana,12,40-44,157,1020,
Indiana,12,45-49,11,,
Iowa,1,15-19,116,127,
Iowa,1,20-24,548,664,
Iowa,1,25-29,990,1538,
Iowa,1,30-34,903,1893,
Iowa,1,35-39,409,1312,
Iowa,1,40-44,91,500,
Iowa,2,15-19,93,184,
Iowa,2,20-24,492,585,
Iowa,2,25-29,915,1407,
Iowa,2,30-34,841,1756,
Iowa,2,35-39,328,1169,
Iowa,2,40-44,62,390,
Iowa,3,15-19,127,189,
Iowa,3,20-24,543,670,
Iowa,3,25-29,1028,1571,
Iowa,3,30-34,930,1958,
Iowa,3,35-39,384,1314,
Iowa,3,40-44,103,487,
Iowa,4,15-19,91,194,
Iowa,4,20-24,522,613,
Iowa,4,25-29,999,1521,
Iowa,4,30-34,911,1910,
Iowa,4,35-39,395,1306,
Iowa,4,40-44,76,471,
Iowa,5,15-19,113,189,
Iowa,5,20-24,545,658,
Iowa,5,25-29,1021,1566,
Iowa,5,30-34,933,1954,
Iowa,5,35-39,397,1330,
Iowa,5,40-44,76,473,
Iowa,6,15-19,111,187,
Iowa,6,20-24,521,632,
Iowa,6,25-29,1001,1522,
Iowa,6,30-34,948,1949,
Iowa,6,35-39,385,1333,
Iowa,6,40-44,64,449,
Iowa,7,15-19,120,184,
Iowa,7,20-24,575,695,
Iowa,7,25-29,1029,1604,
Iowa,7,30-34,924,1953,
Iowa,7,35-39,410,1334,
Iowa,7,40-44,85,495,
Iowa,8,15-19,137,222,
Iowa,8,20-24,540,677,
Iowa,8,25-29,1039,1579,
Iowa,8,30-34,979,2018,
Iowa,8,35-39,410,1389,
Iowa,8,40-44,75,485,
Iowa,9,15-19,115,190,
Iowa,9,20-24,514,629,
Iowa,9,25-29,1009,1523,
Iowa,9,30-34,896,1905,
Iowa,9,35-39,397,1293,
Iowa,9,40-44,86,483,
Iowa,10,15-19,103,189,
Iowa,10,20-24,552,655,
Iowa,10,25-29,1067,1619,
Iowa,10,30-34,970,2037,
Iowa,10,35-39,420,1390,
Iowa,10,40-44,87,507,
Iowa,11,15-19,109,196,
Iowa,11,20-24,466,575,
Iowa,11,25-29,908,1374,
Iowa,11,30-34,893,1801,
Iowa,11,35-39,375,1268,
Iowa,11,40-44,77,452,
Iowa,12,15-19,123,200,
Iowa,12,20-24,505,628,
Iowa,12,25-29,941,1446,
Iowa,12,30-34,907,1848,
Iowa,12,35-39,372,1279,
Iowa,12,40-44,74,446,
Iowa,12,45-49,10,,
Kansas,1,15-19,135,145,
Kansas,1,20-24,562,697,
Kansas,1,25-29,870,1432,
Kansas,1,30-34,783,1653,
Kansas,1,35-39,389,1172,
Kansas,1,40-44,71,460,
Kansas,2,15-19,123,194,
Kansas,2,20-24,527,650,
Kansas,2,25-29,804,1331,
Kansas,2,30-34,741,1545,
Kansas,2,35-39,347,1088,
Kansas,2,40-44,73,420,
Kansas,3,15-19,137,210,
Kansas,3,20-24,591,728,
Kansas,3,25-29,833,1424,
Kansas,3,30-34,795,1628,
Kansas,3,35-39,382,1177,
Kansas,3,40-44,73,455,
Kansas,4,15-19,115,188,
Kansas,4,20-24,530,645,
Kansas,4,25-29,836,1366,
Kansas,4,30-34,846,1682,
Kansas,4,35-39,362,1208,
Kansas,4,40-44,76,438,
Kansas,5,15-19,109,185,
Kansas,5,20-24,558,667,
Kansas,5,25-29,858,1416,
Kansas,5,30-34,803,1661,
Kansas,5,35-39,383,1186,
Kansas,5,40-44,78,461,
Kansas,6,15-19,104,182,
Kansas,6,20-24,562,666,
Kansas,6,25-29,885,1447,
Kansas,6,30-34,732,1617,
Kansas,6,35-39,344,1076,
Kansas,6,40-44,74,418,
Kansas,7,15-19,139,213,
Kansas,7,20-24,652,791,
Kansas,7,25-29,844,1496,
Kansas,7,30-34,882,1726,
Kansas,7,35-39,403,1285,
Kansas,7,40-44,69,472,
Kansas,8,15-19,140,209,
Kansas,8,20-24,692,832,
Kansas,8,25-29,957,1649,
Kansas,8,30-34,842,1799,
Kansas,8,35-39,390,1232,
Kansas,8,40-44,90,480,
Kansas,9,15-19,124,214,
Kansas,9,20-24,597,721,
Kansas,9,25-29,921,1518,
Kansas,9,30-34,790,1711,
Kansas,9,35-39,388,1178,
Kansas,9,40-44,64,452,
Kansas,10,15-19,129,193,
Kansas,10,20-24,577,706,
Kansas,10,25-29,885,1462,
Kansas,10,30-34,850,1735,
Kansas,10,35-39,374,1224,
Kansas,10,40-44,93,467,
Kansas,10,45-49,10,,
Kansas,11,15-19,136,146,
Kansas,11,20-24,526,662,
Kansas,11,25-29,847,1373,
Kansas,11,30-34,734,1581,
Kansas,11,35-39,362,1096,
Kansas,11,40-44,64,426,
Kansas,12,15-19,124,188,
Kansas,12,20-24,585,709,
Kansas,12,25-29,873,1458,
Kansas,12,30-34,773,1646,
Kansas,12,35-39,406,1179,
Kansas,12,40-44,79,485,
Kentucky,1,15-19,249,328,
Kentucky,1,20-24,1121,1370,
Kentucky,1,25-29,1355,2476,
Kentucky,1,30-34,1071,2426,
Kentucky,1,35-39,503,1574,
Kentucky,1,40-44,98,601,
Kentucky,2,15-19,219,317,
Kentucky,2,20-24,972,1191,
Kentucky,2,25-29,1259,2231,
Kentucky,2,30-34,1095,2354,
Kentucky,2,35-39,494,1589,
Kentucky,2,40-44,98,592,
Kentucky,3,15-19,242,340,
Kentucky,3,20-24,1015,1257,
Kentucky,3,25-29,1278,2293,
Kentucky,3,30-34,1143,2421,
Kentucky,3,35-39,482,1625,
Kentucky,3,40-44,91,573,
Kentucky,4,15-19,251,342,
Kentucky,4,20-24,1021,1272,
Kentucky,4,25-29,1309,2330,
Kentucky,4,30-34,1086,2395,
Kentucky,4,35-39,489,1575,
Kentucky,4,40-44,91,580,
Kentucky,5,15-19,240,331,
Kentucky,5,20-24,981,1221,
Kentucky,5,25-29,1386,2367,
Kentucky,5,30-34,1175,2561,
Kentucky,5,35-39,527,1702,
Kentucky,5,40-44,89,616,
Kentucky,5,45-49,10,,
Kentucky,6,15-19,253,263,
Kentucky,6,20-24,1041,1294,
Kentucky,6,25-29,1370,2411,
Kentucky,6,30-34,1057,2427,
Kentucky,6,35-39,467,1524,
Kentucky,6,40-44,102,569,
Kentucky,7,15-19,288,390,
Kentucky,7,20-24,1087,1375,
Kentucky,7,25-29,1516,2603,
Kentucky,7,30-34,1252,2768,
Kentucky,7,35-39,555,1807,
Kentucky,7,40-44,128,683,
Kentucky,8,15-19,262,390,
Kentucky,8,20-24,1132,1394,
Kentucky,8,25-29,1482,2614,
Kentucky,8,30-34,1194,2676,
Kentucky,8,35-39,552,1746,
Kentucky,8,40-44,127,679,
Kentucky,9,15-19,266,393,
Kentucky,9,20-24,1031,1297,
Kentucky,9,25-29,1353,2384,
Kentucky,9,30-34,1119,2472,
Kentucky,9,35-39,557,1676,
Kentucky,9,40-44,82,639,
Kentucky,10,15-19,252,334,
Kentucky,10,20-24,1055,1307,
Kentucky,10,25-29,1429,2484,
Kentucky,10,30-34,1173,2602,
Kentucky,10,35-39,567,1740,
Kentucky,10,40-44,99,666,
Kentucky,11,15-19,213,312,
Kentucky,11,20-24,973,1186,
Kentucky,11,25-29,1259,2232,
Kentucky,11,30-34,1054,2313,
Kentucky,11,35-39,478,1532,
Kentucky,11,40-44,113,591,
Kentucky,12,15-19,237,350,
Kentucky,12,20-24,1017,1254,
Kentucky,12,25-29,1328,2345,
Kentucky,12,30-34,1106,2434,
Kentucky,12,35-39,467,1573,
Kentucky,12,40-44,107,574,
Louisiana,1,15-19,310,417,
Louisiana,1,20-24,958,1268,
Louisiana,1,25-29,1314,2272,
Louisiana,1,30-34,1135,2449,
Louisiana,1,35-39,571,1706,
Louisiana,1,40-44,128,699,
Louisiana,2,15-19,250,378,
Louisiana,2,20-24,1040,1290,
Louisiana,2,25-29,1228,2268,
Louisiana,2,30-34,1088,2316,
Louisiana,2,35-39,519,1607,
Louisiana,2,40-44,113,632,
Louisiana,3,15-19,259,372,
Louisiana,3,20-24,991,1250,
Louisiana,3,25-29,1261,2252,
Louisiana,3,30-34,1114,2375,
Louisiana,3,35-39,543,1657,
Louisiana,3,40-44,103,646,
Louisiana,4,15-19,206,309,
Louisiana,4,20-24,939,1145,
Louisiana,4,25-29,1210,2149,
Louisiana,4,30-34,1107,2317,
Louisiana,4,35-39,518,1625,
Louisiana,4,40-44,88,606,
Louisiana,5,15-19,260,348,
Louisiana,5,20-24,985,1245,
Louisiana,5,25-29,1253,2238,
Louisiana,5,30-34,1059,2312,
Louisiana,5,35-39,540,1599,
Louisiana,5,40-44,99,639,
Louisiana,6,15-19,261,360,
Louisiana,6,20-24,936,1197,
Louisiana,6,25-29,1294,2230,
Louisiana,6,30-34,994,2288,
Louisiana,6,35-39,520,1514,
Louisiana,6,40-44,111,631,
Louisiana,7,15-19,268,379,
Louisiana,7,20-24,1134,1402,
Louisiana,7,25-29,1484,2618,
Louisiana,7,30-34,1170,2654,
Louisiana,7,35-39,625,1795,
Louisiana,7,40-44,131,756,
Louisiana,8,15-19,273,404,
Louisiana,8,20-24,1126,1399,
Louisiana,8,25-29,1443,2569,
Louisiana,8,30-34,1220,2663,
Louisiana,8,35-39,564,1784,
Louisiana,8,40-44,131,695,
Louisiana,9,15-19,321,452,
Louisiana,9,20-24,1088,1409,
Louisiana,9,25-29,1325,2413,
Louisiana,9,30-34,1225,2550,
Louisiana,9,35-39,539,1764,
Louisiana,9,40-44,122,661,
Louisiana,10,15-19,268,390,
Louisiana,10,20-24,1089,1357,
Louisiana,10,25-29,1413,2502,
Louisiana,10,30-34,1165,2578,
Louisiana,10,35-39,611,1776,
Louisiana,10,40-44,118,729,
Louisiana,11,15-19,284,402,
Louisiana,11,20-24,1010,1294,
Louisiana,11,25-29,1273,2283,
Louisiana,11,30-34,1102,2375,
Louisiana,11,35-39,531,1633,
Louisiana,11,40-44,134,665,
Louisiana,12,15-19,213,347,
Louisiana,12,20-24,873,1086,
Louisiana,12,25-29,1097,1970,
Louisiana,12,30-34,958,2055,
Louisiana,12,35-39,492,1450,
Louisiana,12,40-44,101,593,
Maine,1,15-19,25,126,
Maine,1,20-24,129,154,
Maine,1,25-29,266,395,
Maine,1,30-34,319,585,
Maine,1,35-39,168,487,
Maine,1,40-44,37,205,
Maine,2,15-19,27,64,
Maine,2,20-24,152,179,
Maine,2,25-29,256,408,
Maine,2,30-34,275,531,
Maine,2,35-39,176,451,
Maine,2,40-44,31,207,
Maine,3,15-19,24,55,
Maine,3,20-24,138,162,
Maine,3,25-29,299,437,
Maine,3,30-34,313,612,
Maine,3,35-39,164,477,
Maine,3,40-44,41,205,
Maine,4,15-19,22,63,
Maine,4,20-24,138,160,
Maine,4,25-29,270,408,
Maine,4,30-34,315,585,
Maine,4,35-39,155,470,
Maine,4,40-44,50,205,
Maine,5,15-19,32,82,
Maine,5,20-24,124,156,
Maine,5,25-29,286,410,
Maine,5,30-34,311,597,
Maine,5,35-39,205,516,
Maine,5,40-44,32,237,
Maine,6,15-19,26,58,
Maine,6,20-24,149,175,
Maine,6,25-29,258,407,
Maine,6,30-34,314,572,
Maine,6,35-39,146,460,
Maine,6,40-44,48,194,
Maine,7,15-19,21,69,
Maine,7,20-24,139,160,
Maine,7,25-29,262,401,
Maine,7,30-34,364,626,
Maine,7,35-39,209,573,
Maine,7,40-44,32,241,
Maine,8,15-19,29,61,
Maine,8,20-24,129,158,
Maine,8,25-29,290,419,
Maine,8,30-34,331,621,
Maine,8,35-39,173,504,
Maine,8,40-44,38,211,
Maine,9,15-19,27,65,
Maine,9,20-24,134,161,
Maine,9,25-29,287,421,
Maine,9,30-34,317,604,
Maine,9,35-39,169,486,
Maine,9,40-44,28,197,
Maine,10,15-19,30,58,
Maine,10,20-24,150,180,
Maine,10,25-29,280,430,
Maine,10,30-34,308,588,
Maine,10,35-39,207,515,
Maine,10,40-44,38,245,
Maine,11,15-19,22,60,
Maine,11,20-24,141,163,
Maine,11,25-29,253,394,
Maine,11,30-34,337,590,
Maine,11,35-39,144,481,
Maine,11,40-44,37,181,
Maine,12,15-19,25,62,
Maine,12,20-24,118,143,
Maine,12,25-29,255,373,
Maine,12,30-34,309,564,
Maine,12,35-39,176,485,
Maine,12,40-44,35,211,
Maryland,1,15-19,202,237,
Maryland,1,20-24,730,932,
Maryland,1,25-29,1286,2016,
Maryland,1,30-34,1731,3017,
Maryland,1,35-39,1145,2876,
Maryland,1,40-44,338,1483,
Maryland,1,45-49,17,,
Maryland,2,15-19,177,194,
Maryland,2,20-24,719,896,
Maryland,2,25-29,1254,1973,
Maryland,2,30-34,1672,2926,
Maryland,2,35-39,1049,2721,
Maryland,2,40-44,244,1293,
Maryland,2,45-49,26,,
Maryland,3,15-19,164,190,
Maryland,3,20-24,668,832,
Maryland,3,25-29,1312,1980,
Maryland,3,30-34,1897,3209,
Maryland,3,35-39,1147,3044,
Maryland,3,40-44,293,1440,
Maryland,3,45-49,23,,
Maryland,4,15-19,131,154,
Maryland,4,20-24,735,866,
Maryland,4,25-29,1240,1975,
Maryland,4,30-34,1748,2988,
Maryland,4,35-39,1097,2845,
Maryland,4,40-44,259,1356,
Maryland,4,45-49,20,,
Maryland,5,15-19,176,196,
Maryland,5,20-24,694,870,
Maryland,5,25-29,1287,1981,
Maryland,5,30-34,1916,3203,
Maryland,5,35-39,1182,3098,
Maryland,5,40-44,288,1470,
Maryland,5,45-49,19,,
Maryland,6,15-19,152,171,
Maryland,6,20-24,721,873,
Maryland,6,25-29,1283,2004,
Maryland,6,30-34,1821,3104,
Maryland,6,35-39,1074,2895,
Maryland,6,40-44,260,1334,
Maryland,6,45-49,34,,
Maryland,7,15-19,181,215,
Maryland,7,20-24,705,886,
Maryland,7,25-29,1350,2055,
Maryland,7,30-34,2004,3354,
Maryland,7,35-39,1303,3307,
Maryland,7,40-44,271,1574,
Maryland,7,45-49,26,,
Maryland,8,15-19,211,237,
Maryland,8,20-24,801,1012,
Maryland,8,25-29,1400,2201,
Maryland,8,30-34,1934,3334,
Maryland,8,35-39,1267,3201,
Maryland,8,40-44,326,1593,
Maryland,8,45-49,28,,
Maryland,9,15-19,155,183,
Maryland,9,20-24,708,863,
Maryland,9,25-29,1361,2069,
Maryland,9,30-34,1760,3121,
Maryland,9,35-39,1227,2987,
Maryland,9,40-44,250,1477,
Maryland,9,45-49,21,,
Maryland,10,15-19,174,195,
Maryland,10,20-24,712,886,
Maryland,10,25-29,1284,1996,
Maryland,10,30-34,1804,3088,
Maryland,10,35-39,1164,2968,
Maryland,10,40-44,337,1501,
Maryland,10,45-49,23,,
Maryland,11,15-19,133,156,
Maryland,11,20-24,652,785,
Maryland,11,25-29,1246,1898,
Maryland,11,30-34,1773,3019,
Maryland,11,35-39,1155,2928,
Maryland,11,40-44,240,1395,
Maryland,11,45-49,21,,
Maryland,12,15-19,187,208,
Maryland,12,20-24,666,853,
Maryland,12,25-29,1303,1969,
Maryland,12,30-34,1708,3011,
Maryland,12,35-39,1177,2885,
Maryland,12,40-44,331,1508,
Maryland,12,45-49,25,,
Massachusetts,1,15-19,118,143,
Massachusetts,1,20-24,532,650,
Massachusetts,1,25-29,1137,1669,
Massachusetts,1,30-34,1931,3068,
Massachusetts,1,35-39,1433,3364,
Massachusetts,1,40-44,296,1729,
Massachusetts,1,45-49,23,,
Massachusetts,2,15-19,99,122,
Massachusetts,2,20-24,547,646,
Massachusetts,2,25-29,1131,1678,
Massachusetts,2,30-34,1945,3076,
Massachusetts,2,35-39,1279,3224,
Massachusetts,2,40-44,283,1562,
Massachusetts,2,45-49,27,,
Massachusetts,3,15-19,113,140,
Massachusetts,3,20-24,507,620,
Massachusetts,3,25-29,1154,1661,
Massachusetts,3,30-34,2170,3324,
Massachusetts,3,35-39,1428,3598,
Massachusetts,3,40-44,308,1736,
Massachusetts,3,45-49,19,,
Massachusetts,4,15-19,108,127,
Massachusetts,4,20-24,489,597,
Massachusetts,4,25-29,1042,1531,
Massachusetts,4,30-34,2156,3198,
Massachusetts,4,35-39,1429,3585,
Massachusetts,4,40-44,309,1738,
Massachusetts,4,45-49,20,,
Massachusetts,5,15-19,82,102,
Massachusetts,5,20-24,521,603,
Massachusetts,5,25-29,1184,1705,
Massachusetts,5,30-34,2250,3434,
Massachusetts,5,35-39,1481,3731,
Massachusetts,5,40-44,330,1811,
Massachusetts,5,45-49,21,,
Massachusetts,6,15-19,102,123,
Massachusetts,6,20-24,506,608,
Massachusetts,6,25-29,1116,1622,
Massachusetts,6,30-34,2211,3327,
Massachusetts,6,35-39,1424,3635,
Massachusetts,6,40-44,297,1721,
Massachusetts,6,45-49,19,,
Massachusetts,7,15-19,90,109,
Massachusetts,7,20-24,552,642,
Massachusetts,7,25-29,1249,1801,
Massachusetts,7,30-34,2271,3520,
Massachusetts,7,35-39,1476,3747,
Massachusetts,7,40-44,341,1817,
Massachusetts,7,45-49,19,,
Massachusetts,8,15-19,111,130,
Massachusetts,8,20-24,533,644,
Massachusetts,8,25-29,1259,1792,
Massachusetts,8,30-34,2219,3478,
Massachusetts,8,35-39,1608,3827,
Massachusetts,8,40-44,310,1918,
Massachusetts,8,45-49,25,,
Massachusetts,9,15-19,100,125,
Massachusetts,9,20-24,541,641,
Massachusetts,9,25-29,1196,1737,
Massachusetts,9,30-34,2169,3365,
Massachusetts,9,35-39,1374,3543,
Massachusetts,9,40-44,271,1645,
Massachusetts,9,45-49,18,,
Massachusetts,10,15-19,101,119,
Massachusetts,10,20-24,490,591,
Massachusetts,10,25-29,1306,1796,
Massachusetts,10,30-34,2210,3516,
Massachusetts,10,35-39,1379,3589,
Massachusetts,10,40-44,315,1694,
Massachusetts,10,45-49,23,,
Massachusetts,11,15-19,104,127,
Massachusetts,11,20-24,522,626,
Massachusetts,11,25-29,1099,1621,
Massachusetts,11,30-34,2035,3134,
Massachusetts,11,35-39,1427,3462,
Massachusetts,11,40-44,292,1719,
Massachusetts,11,45-49,28,,
Massachusetts,12,15-19,119,147,
Massachusetts,12,20-24,497,616,
Massachusetts,12,25-29,1102,1599,
Massachusetts,12,30-34,2000,3102,
Massachusetts,12,35-39,1440,3440,
Massachusetts,12,40-44,312,1752,
Massachusetts,12,45-49,11,,
Michigan,1,15-19,289,300,
Michigan,1,20-24,1307,1596,
Michigan,1,25-29,2399,3706,
Michigan,1,30-34,2537,4936,
Michigan,1,35-39,1193,3730,
Michigan,1,40-44,234,1427,
Michigan,1,45-49,14,,
Michigan,2,15-19,263,277,
Michigan,2,20-24,1308,1571,
Michigan,2,25-29,2308,3616,
Michigan,2,30-34,2438,4746,
Michigan,2,35-39,1156,3594,
Michigan,2,40-44,233,1389,
Michigan,2,45-49,15,,
Michigan,3,15-19,291,306,
Michigan,3,20-24,1397,1688,
Michigan,3,25-29,2416,3813,
Michigan,3,30-34,2719,5135,
Michigan,3,35-39,1276,3995,
Michigan,3,40-44,250,1526,
Michigan,3,45-49,10,,
Michigan,4,15-19,257,267,
Michigan,4,20-24,1285,1542,
Michigan,4,25-29,2488,3773,
Michigan,4,30-34,2719,5207,
Michigan,4,35-39,1246,3965,
Michigan,4,40-44,227,1473,
Michigan,4,45-49,13,,
Michigan,5,15-19,294,307,
Michigan,5,20-24,1348,1642,
Michigan,5,25-29,2564,3912,
Michigan,5,30-34,2870,5434,
Michigan,5,35-39,1331,4201,
Michigan,5,40-44,279,1610,
Michigan,5,45-49,16,,
Michigan,6,15-19,281,297,
Michigan,6,20-24,1336,1617,
Michigan,6,25-29,2454,3790,
Michigan,6,30-34,2821,5275,
Michigan,6,35-39,1317,4138,
Michigan,6,40-44,272,1589,
Michigan,6,45-49,17,,
Michigan,7,15-19,253,270,
Michigan,7,20-24,1404,1657,
Michigan,7,25-29,2631,4035,
Michigan,7,30-34,2777,5408,
Michigan,7,35-39,1398,4175,
Michigan,7,40-44,265,1663,
Michigan,7,45-49,11,,
Michigan,8,15-19,299,310,
Michigan,8,20-24,1399,1698,
Michigan,8,25-29,2665,4064,
Michigan,8,30-34,2901,5566,
Michigan,8,35-39,1404,4305,
Michigan,8,40-44,247,1651,
Michigan,8,45-49,13,,
Michigan,9,15-19,263,276,
Michigan,9,20-24,1336,1599,
Michigan,9,25-29,2379,3715,
Michigan,9,30-34,2735,5114,
Michigan,9,35-39,1316,4051,
Michigan,9,40-44,252,1568,
Michigan,9,45-49,12,,
Michigan,10,15-19,279,291,
Michigan,10,20-24,1354,1633,
Michigan,10,25-29,2460,3814,
Michigan,10,30-34,2774,5234,
Michigan,10,35-39,1324,4098,
Michigan,10,40-44,231,1555,
Michigan,10,45-49,14,,
Michigan,11,15-19,246,260,
Michigan,11,20-24,1209,1455,
Michigan,11,25-29,2215,3424,
Michigan,11,30-34,2493,4708,
Michigan,11,35-39,1189,3682,
Michigan,11,40-44,246,1435,
Michigan,11,45-49,12,,
Michigan,12,15-19,237,249,
Michigan,12,20-24,1330,1567,
Michigan,12,25-29,2285,3615,
Michigan,12,30-34,2524,4809,
Michigan,12,35-39,1238,3762,
Michigan,12,40-44,248,1486,
Michigan,12,45-49,12,,
Minnesota,1,15-19,118,130,
Minnesota,1,20-24,589,707,
Minnesota,1,25-29,1373,1962,
Minnesota,1,30-34,1608,2981,
Minnesota,1,35-39,926,2534,
Minnesota,1,40-44,191,1117,
Minnesota,1,45-49,10,,
Minnesota,2,15-19,104,114,
Minnesota,2,20-24,576,680,
Minnesota,2,25-29,1387,1963,
Minnesota,2,30-34,1690,3077,
Minnesota,2,35-39,909,2599,
Minnesota,2,40-44,208,1117,
Minnesota,2,45-49,15,,
Minnesota,3,15-19,120,135,
Minnesota,3,20-24,706,826,
Minnesota,3,25-29,1381,2087,
Minnesota,3,30-34,1746,3127,
Minnesota,3,35-39,924,2670,
Minnesota,3,40-44,201,1125,
Minnesota,3,45-49,11,,
Minnesota,4,15-19,117,128,
Minnesota,4,20-24,614,731,
Minnesota,4,25-29,1409,2023,
Minnesota,4,30-34,1849,3258,
Minnesota,4,35-39,958,2807,
Minnesota,4,40-44,187,1145,
Minnesota,4,45-49,12,,
Minnesota,5,15-19,106,118,
Minnesota,5,20-24,678,784,
Minnesota,5,25-29,1494,2172,
Minnesota,5,30-34,1927,3421,
Minnesota,5,35-39,1009,2936,
Minnesota,5,40-44,194,1203,
Minnesota,5,45-49,13,,
Minnesota,6,15-19,113,126,
Minnesota,6,20-24,650,763,
Minnesota,6,25-29,1431,2081,
Minnesota,6,30-34,1764,3195,
Minnesota,6,35-39,948,2712,
Minnesota,6,40-44,174,1122,
Minnesota,7,15-19,121,295,
Minnesota,7,20-24,664,785,
Minnesota,7,25-29,1502,2166,
Minnesota,7,30-34,1870,3372,
Minnesota,7,35-39,946,2816,
Minnesota,7,40-44,229,1175,
Minnesota,7,45-49,16,,
Minnesota,8,15-19,110,126,
Minnesota,8,20-24,681,791,
Minnesota,8,25-29,1510,2191,
Minnesota,8,30-34,1934,3444,
Minnesota,8,35-39,1052,2986,
Minnesota,8,40-44,213,1265,
Minnesota,8,45-49,22,,
Minnesota,9,15-19,125,147,
Minnesota,9,20-24,646,771,
Minnesota,9,25-29,1396,2042,
Minnesota,9,30-34,1778,3174,
Minnesota,9,35-39,969,2747,
Minnesota,9,40-44,213,1182,
Minnesota,10,15-19,115,328,
Minnesota,10,20-24,639,754,
Minnesota,10,25-29,1458,2097,
Minnesota,10,30-34,1888,3346,
Minnesota,10,35-39,1014,2902,
Minnesota,10,40-44,227,1241,
Minnesota,10,45-49,18,,
