state,month,marital_status,births
District of Columbia,4,Unmarried,261
District of Columbia,5,Married,372
District of Columbia,5,Unmarried,281
District of Columbia,6,Married,331
District of Columbia,6,Unmarried,293
District of Columbia,7,Married,343
District of Columbia,7,Unmarried,288
District of Columbia,8,Married,374
District of Columbia,8,Unmarried,320
District of Columbia,9,Married,302
District of Columbia,9,Unmarried,322
District of Columbia,10,Married,354
District of Columbia,10,Unmarried,263
District of Columbia,11,Married,381
District of Columbia,11,Unmarried,281
District of Columbia,12,Married,302
District of Columbia,12,Unmarried,252
Florida,1,Married,10018
Florida,1,Unmarried,8343
Florida,2,Married,9499
Florida,2,Unmarried,7952
Florida,3,Married,9965
Florida,3,Unmarried,7907
Florida,4,Married,9730
Florida,4,Unmarried,7574
Florida,5,Married,9854
Florida,5,Unmarried,7891
Florida,6,Married,9502
Florida,6,Unmarried,7807
Florida,7,Married,10427
Florida,7,Unmarried,8711
Florida,8,Married,10903
Florida,8,Unmarried,9157
Florida,9,Married,10632
Florida,9,Unmarried,8948
Florida,10,Married,10988
Florida,10,Unmarried,9014
Florida,11,Married,10258
Florida,11,Unmarried,8476
Florida,12,Married,10680
Florida,12,Unmarried,9092
Georgia,1,Married,5520
Georgia,1,Unmarried,4916
Georgia,2,Married,5440
Georgia,2,Unmarried,4530
Georgia,3,Married,5722
Georgia,3,Unmarried,4675
Georgia,4,Married,5377
Georgia,4,Unmarried,4459
Georgia,5,Married,5660
Georgia,5,Unmarried,4634
Georgia,6,Married,5254
Georgia,6,Unmarried,4665
Georgia,7,Married,5988
Georgia,7,Unmarried,5140
Georgia,8,Married,6068
Georgia,8,Unmarried,5303
Georgia,9,Married,5715
Georgia,9,Unmarried,4921
Georgia,10,Married,5862
Georgia,10,Unmarried,4836
Georgia,11,Married,5576
Georgia,11,Unmarried,4693
Georgia,12,Married,5750
Georgia,12,Unmarried,5156
Hawaii,1,Married,706
Hawaii,1,Unmarried,518
Hawaii,2,Married,710
Hawaii,2,Unmarried,499
Hawaii,3,Married,711
Hawaii,3,Unmarried,488
Hawaii,4,Married,738
Hawaii,4,Unmarried,475
Hawaii,5,Married,753
Hawaii,5,Unmarried,480
Hawaii,6,Married,703
Hawaii,6,Unmarried,456
Hawaii,7,Married,699
Hawaii,7,Unmarried,492
Hawaii,8,Married,756
Hawaii,8,Unmarried,513
Hawaii,9,Married,736
Hawaii,9,Unmarried,538
Hawaii,10,Married,778
Hawaii,10,Unmarried,534
Hawaii,11,Married,698
Hawaii,11,Unmarried,533
Hawaii,12,Married,632
Hawaii,12,Unmarried,507
Idaho,1,Married,1317
Idaho,1,Unmarried,473
Idaho,2,Married,1257
Idaho,2,Unmarried,470
Idaho,3,Married,1395
Idaho,3,Unmarried,484
Idaho,4,Married,1451
Idaho,4,Unmarried,490
Idaho,5,Married,1546
Idaho,5,Unmarried,561
Idaho,6,Married,1437
Idaho,6,Unmarried,539
Idaho,7,Married,1534
Idaho,7,Unmarried,562
Idaho,8,Married,1487
Idaho,8,Unmarried,575
