state,month,marital_status,births
Rhode Island,4,Unmarried,331
Rhode Island,5,Married,522
Rhode Island,5,Unmarried,348
Rhode Island,6,Married,488
Rhode Island,6,Unmarried,308
Rhode Island,7,Married,501
Rhode Island,7,Unmarried,355
Rhode Island,8,Married,544
Rhode Island,8,Unmarried,359
Rhode Island,9,Married,522
Rhode Island,9,Unmarried,359
Rhode Island,10,Married,517
Rhode Island,10,Unmarried,352
Rhode Island,11,Married,445
Rhode Island,11,Unmarried,314
Rhode Island,12,Married,448
Rhode Island,12,Unmarried,341
South Carolina,1,Married,2629
South Carolina,1,Unmarried,2238
South Carolina,2,Married,2472
South Carolina,2,Unmarried,2004
South Carolina,3,Married,2648
South Carolina,3,Unmarried,2103
South Carolina,4,Married,2579
South Carolina,4,Unmarried,1967
South Carolina,5,Married,2659
South Carolina,5,Unmarried,2155
South Carolina,6,Married,2570
South Carolina,6,Unmarried,2186
South Carolina,7,Married,2960
South Carolina,7,Unmarried,2373
South Carolina,8,Married,3028
South Carolina,8,Unmarried,2416
South Carolina,9,Married,2677
South Carolina,9,Unmarried,2134
South Carolina,10,Married,2842
South Carolina,10,Unmarried,2192
South Carolina,11,Married,2595
South Carolina,11,Unmarried,2044
South Carolina,12,Married,2794
South Carolina,12,Unmarried,2321
South Dakota,1,Married,594
South Dakota,1,Unmarried,362
South Dakota,2,Married,549
South Dakota,2,Unmarried,314
South Dakota,3,Married,596
South Dakota,3,Unmarried,351
South Dakota,4,Married,645
South Dakota,4,Unmarried,323
South Dakota,5,Married,694
South Dakota,5,Unmarried,347
South Dakota,6,Married,615
South Dakota,6,Unmarried,308
South Dakota,7,Married,644
South Dakota,7,Unmarried,359
South Dakota,8,Married,639
South Dakota,8,Unmarried,362
South Dakota,9,Married,619
South Dakota,9,Unmarried,364
South Dakota,10,Married,609
South Dakota,10,Unmarried,313
South Dakota,11,Married,569
South Dakota,11,Unmarried,304
South Dakota,12,Married,617
South Dakota,12,Unmarried,317
Tennessee,1,Married,3761
Tennessee,1,Unmarried,2977
Tennessee,2,Married,3787
Tennessee,2,Unmarried,2704
Tennessee,3,Married,3949
Tennessee,3,Unmarried,2856
Tennessee,4,Married,3812
Tennessee,4,Unmarried,2680
Tennessee,5,Married,4249
Tennessee,5,Unmarried,2862
Tennessee,6,Married,3917
Tennessee,6,Unmarried,2915
Tennessee,7,Married,4348
Tennessee,7,Unmarried,3131
Tennessee,8,Married,4468
Tennessee,8,Unmarried,3054
Tennessee,9,Married,4231
Tennessee,9,Unmarried,2930
Tennessee,10,Married,4204
Tennessee,10,Unmarried,2919
Tennessee,11,Married,3868
Tennessee,11,Unmarried,2800
Tennessee,12,Married,4040
Tennessee,12,Unmarried,3068
Texas,1,Married,18447
Texas,1,Unmarried,13795
Texas,2,Married,17595
Texas,2,Unmarried,12513
Texas,2,Not Reported,10
Texas,3,Married,18100
Texas,3,Unmarried,12570
Texas,4,Married,17888
Texas,4,Unmarried,12097
Texas,5,Married,18922
Texas,5,Unmarried,12505
Texas,6,Married,18017
Texas,6,Unmarried,12442
Texas,7,Married,20128
Texas,7,Unmarried,14411
Texas,8,Married,20593
Texas,8,Unmarried,14793
Texas,8,Not Reported,11
Texas,9,Married,19889
Texas,9,Unmarried,13940
Texas,10,Married,20549
Texas,10,Unmarried,14121
Texas,11,Married,18751
Texas,11,Unmarried,13192
Texas,12,Married,19709
Texas,12,Unmarried,14068
Texas,12,Not Reported,10
Utah,1,Married,2837
Utah,1,Unmarried,856
Utah,2,Married,2790
Utah,2,Unmarried,827
Utah,3,Married,3087
Utah,3,Unmarried,807
Utah,4,Married,3072
Utah,4,Unmarried,814
Utah,5,Married,3141
Utah,5,Unmarried,818
Utah,6,Married,3020
Utah,6,Unmarried,915
Utah,7,Married,3253
Utah,7,Unmarried,988
Utah,8,Married,3257
Utah,8,Unmarried,919
Utah,9,Married,3108
Utah,9,Unmarried,831
Utah,10,Married,3045
Utah,10,Unmarried,829
Utah,11,Married,2728
Utah,11,Unmarried,812
Utah,12,Married,2922
Utah,12,Unmarried,877
Vermont,1,Married,227
Vermont,1,Unmarried,153
Vermont,2,Married,234
Vermont,2,Unmarried,149
Vermont,3,Married,258
Vermont,3,Unmarried,178
Vermont,4,Married,261
Vermont,4,Unmarried,152
Vermont,5,Married,303
Vermont,5,Unmarried,145
Vermont,6,Married,281
Vermont,6,Unmarried,162
Vermont,7,Married,277
Vermont,7,Unmarried,142
Vermont,8,Married,285
Vermont,8,Unmarried,167
Vermont,9,Married,250
Vermont,9,Unmarried,150
Vermont,10,Married,264
Vermont,10,Unmarried,158
Vermont,11,Married,255
Vermont,11,Unmarried,140
Vermont,12,Married,241
Vermont,12,Unmarried,174
Virginia,1,Married,4930
Virginia,1,Unmarried,2782
Virginia,2,Married,4699
Virginia,2,Unmarried,2660
Virginia,3,Married,5117
Virginia,3,Unmarried,2711
Virginia,4,Married,4943
Virginia,4,Unmarried,2628
Virginia,5,Married,5190
Virginia,5,Unmarried,2645
Virginia,6,Married,4893
Virginia,6,Unmarried,2694
Virginia,7,Married,5248
Virginia,7,Unmarried,2853
Virginia,8,Married,5357
Virginia,8,Unmarried,2911
Virginia,9,Married,5080
Virginia,9,Unmarried,2725
Virginia,10,Married,5272
Virginia,10,Unmarried,2763
Virginia,11,Married,4864
Virginia,11,Unmarried,2644
Virginia,12,Married,3864
Virginia,12,Unmarried,2075
Washington,1,Married,4464
Washington,1,Unmarried,2132
Washington,2,Married,4334
Washington,2,Unmarried,2067
Washington,3,Married,4760
Washington,3,Unmarried,2199
Washington,4,Married,4531
Washington,4,Unmarried,2126
Washington,5,Married,4969
Washington,5,Unmarried,2198
Washington,6,Married,4776
Washington,6,Unmarried,2132
Washington,7,Married,4956
Washington,7,Unmarried,2308
Washington,8,Married,5120
Washington,8,Unmarried,2333
Washington,9,Married,4745
Washington,9,Unmarried,2104
Washington,10,Married,4934
Washington,10,Unmarried,2207
Washington,11,Married,4493
Washington,11,Unmarried,2159
Washington,12,Married,4519
Washington,12,Unmarried,2107
West Virginia,1,Married,757
West Virginia,1,Unmarried,615
West Virginia,2,Married,740
West Virginia,2,Unmarried,635
West Virginia,3,Married,780
West Virginia,3,Unmarried,628
West Virginia,4,Married,736
West Virginia,4,Unmarried,627
West Virginia,5,Married,796
West Virginia,5,Unmarried,615
West Virginia,6,Married,812
West Virginia,6,Unmarried,574
West Virginia,7,Married,866
West Virginia,7,Unmarried,617
West Virginia,8,Married,858
West Virginia,8,Unmarried,687
West Virginia,9,Married,794
West Virginia,9,Unmarried,628
West Virginia,10,Married,827
West Virginia,10,Unmarried,628
West Virginia,11,Married,743
West Virginia,11,Unmarried,592
West Virginia,12,Married,727
West Virginia,12,Unmarried,564
Wisconsin,1,Married,2907
Wisconsin,1,Unmarried,1747
Wisconsin,2,Married,2951
Wisconsin,2,Unmarried,1773
Wisconsin,3,Married,3169
Wisconsin,3,Unmarried,1780
Wisconsin,4,Married,3079
Wisconsin,4,Unmarried,1791
Wisconsin,5,Married,3380
Wisconsin,5,Unmarried,1845
Wisconsin,6,Married,3242
Wisconsin,6,Unmarried,1795
Wisconsin,7,Married,3336
Wisconsin,7,Unmarried,1919
Wisconsin,8,Married,3366
Wisconsin,8,Unmarried,1978
Wisconsin,9,Married,3077
Wisconsin,9,Unmarried,1814
Wisconsin,10,Married,3123
Wisconsin,10,Unmarried,1853
Wisconsin,11,Married,2885
Wisconsin,11,Unmarried,1737
Wisconsin,12,Married,3097
Wisconsin,12,Unmarried,1834
Wyoming,1,Married,297
Wyoming,1,Unmarried,185
Wyoming,2,Married,301
Wyoming,2,Unmarried,186
Wyoming,3,Married,337
Wyoming,3,Unmarried,186
Wyoming,4,Married,359
Wyoming,4,Unmarried,164
Wyoming,5,Married,337
Wyoming,5,Unmarried,185
Wyoming,6,Married,363
Wyoming,6,Unmarried,163
Wyoming,7,Married,358
Wyoming,7,Unmarried,173
Wyoming,8,Married,359
Wyoming,8,Unmarried,178
Wyoming,9,Married,330
Wyoming,9,Unmarried,152
Wyoming,10,Married,356
Wyoming,10,Unmarried,166
Wyoming,11,Married,306
Wyoming,11,Unmarried,136
Wyoming,12,Married,321
Wyoming,12,Unmarried,172
